Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;0%;12.48863316;0.022639077;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/60/Freeflow;0%;51.16705322;0.010789411;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/60/St+Go;0%;12.48848057;0.022638973;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/30/Freeflow;0%;28.912714;0.012028748;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/30/St+Go;0%;9.621914864;0.025381573;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/40/Freeflow;0%;35.62506104;0.011265839;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/40/St+Go;0%;11.82717037;0.022463679;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/50/Freeflow;0%;40.68199921;0.011851205;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/50/St+Go;0%;12.48866653;0.022638824;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/80/Freeflow;0%;82.8160553;0.163969785;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/80/St+Go;0%;15.47382641;0.60858804;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/90/Freeflow;0%;92.8160553;0.208779633;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/90/St+Go;0%;17.92079926;0.402779609;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/100/Freeflow;0%;102.0329514;0.286884904;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/100/St+Go;0%;17.92079926;0.402778029;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/110/Freeflow;0%;112.0319519;0.407563627;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/110/St+Go;0%;17.91894531;0.402791589;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/120/Freeflow;0%;122.028183;0.648036122;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/120/St+Go;0%;17.91272163;0.402767479;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/130/Freeflow;0%;132.6252441;1.228876472;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/130/St+Go;0%;17.91829681;0.402490288;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/>130/Freeflow;0%;142.7671356;3.569770098;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/>130/St+Go;0%;17.91503143;0.402947664;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/Semi-MW/90/Freeflow;0%;87.65525055;0.246653467;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/Semi-MW/90/St+Go;0%;17.92082596;0.403161705;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/Semi-MW/110/Freeflow;0%;106.9743805;0.420514077;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/Semi-MW/110/St+Go;0%;17.92167854;0.402811408;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;RUR/Trunk/60/Freeflow;0%;62.06891251;0.317898512;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;RUR/Trunk/60/St+Go;0%;13.27647781;0.514389157;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/70/Freeflow;0%;71.14550781;0.268206596;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/70/St+Go;0%;14.3998003;0.447915077;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/Freeflow;0%;79.04334259;0.155700698;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/80/St+Go;0%;15.47643852;0.60593462;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/90/Freeflow;0%;87.65524292;0.245546147;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/90/St+Go;0%;15.46758938;0.605835438;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/100/Freeflow;0%;96.42288208;0.267905951;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/100/St+Go;0%;17.92234802;0.399718523;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Rural;RUR/Trunk/110/Freeflow;0%;106.9743881;0.419332415;ØGermany;;
